date,cases
8/1/2017,8
8/2/2017,5
8/3/2017,15
8/4/2017,9
8/5/2017,8
8/6/2017,5
8/7/2017,15
8/8/2017,8
8/9/2017,4
8/10/2017,8
8/11/2017,11
8/12/2017,6
08/13/2017,4
08/14/2017,7
08/15/2017,12
08/16/2017,10
08/17/2017,8
08/18/2017,10
08/19/2017,6
08/20/2017,5
08/21/2017,6
08/22/2017,8
08/23/2017,9
08/24/2017,8
08/25/2017,9
08/26/2017,7
08/27/2017,1
08/28/2017,6
08/29/2017,8
08/30/2017,5
08/31/2017,6
9/1/2017,1
9/2/2017,7
9/3/2017,8
9/4/2017,10
9/5/2017,9
9/6/2017,3
9/7/2017,4
9/8/2017,3
9/9/2017,3
9/10/2017,4
9/11/2017,5
9/12/2017,13
09/13/2017,9
09/14/2017,11
09/15/2017,6
09/16/2017,4
09/17/2017,4
09/18/2017,13
09/19/2017,13
09/20/2017,3
09/21/2017,10
09/22/2017,6
09/23/2017,6
09/24/2017,2
09/25/2017,5
09/26/2017,7
09/27/2017,2
09/28/2017,9
09/29/2017,8
09/30/2017,6
10/1/2017,5
10/2/2017,6
10/3/2017,5
10/4/2017,15
10/5/2017,6
10/6/2017,8
10/7/2017,7
10/8/2017,8
10/9/2017,13
10/10/2017,5
10/11/2017,8
10/12/2017,11
10/13/2017,7
10/14/2017,4
10/15/2017,7
10/16/2017,10
10/17/2017,11
10/18/2017,5
10/19/2017,13
10/20/2017,11
10/21/2017,7
10/22/2017,8
10/23/2017,10
10/24/2017,10
10/25/2017,21
10/26/2017,13
10/27/2017,9
10/28/2017,6
10/29/2017,7
10/30/2017,14
10/31/2017,10
11/1/2017,7
11/2/2017,9
11/3/2017,12
11/4/2017,5
11/5/2017,1
11/6/2017,17
11/7/2017,10
11/8/2017,1
11/9/2017,4
11/10/2017,5
11/11/2017,7
11/12/2017,1
11/13/2017,11
11/14/2017,5
11/15/2017,6
11/16/2017,10
11/17/2017,10
11/18/2017,8
11/19/2017,2
11/20/2017,9
11/21/2017,1
11/22/2017,2
11/23/2017,2
11/24/2017,6
11/25/2017,0
11/26/2017,2
11/27/2017,9
11/28/2017,5
11/29/2017,6
11/30/2017,4
12/1/2017,7
12/2/2017,5
12/3/2017,2
12/4/2017,5
12/5/2017,6
12/6/2017,5
12/7/2017,10
12/8/2017,6
12/9/2017,0
12/10/2017,2
12/11/2017,9
12/12/2017,4
12/13/2017,5
12/14/2017,4
12/15/2017,10
12/16/2017,6
12/17/2017,6
12/18/2017,5
12/19/2017,3
12/20/2017,9
12/21/2017,12
12/22/2017,7
12/23/2017,12
12/24/2017,3
12/25/2017,3
12/26/2017,15
12/27/2017,7
12/28/2017,9
12/29/2017,21
12/30/2017,9
12/31/2017,8
1/1/2018,8
1/2/2018,18
1/3/2018,16
1/4/2018,13
1/5/2018,17
1/6/2018,5
1/7/2018,8
1/8/2018,13
1/9/2018,11
1/10/2018,10
1/11/2018,11
1/12/2018,8
01/13/2018,7
01/14/2018,5
01/15/2018,11
01/16/2018,9
01/17/2018,6
01/18/2018,8
01/19/2018,9
01/20/2018,6
01/21/2018,6
01/22/2018,9
01/23/2018,10
01/24/2018,1
01/25/2018,10
01/26/2018,5
01/27/2018,4
01/28/2018,6
01/29/2018,4
01/30/2018,10
01/31/2018,7
2/1/2018,10
2/2/2018,10
2/3/2018,3
2/4/2018,6
2/5/2018,9
2/6/2018,12
2/7/2018,5
2/8/2018,9
2/9/2018,6
2/10/2018,3
2/11/2018,3
2/12/2018,9
02/13/2018,7
02/14/2018,7
02/15/2018,1
02/16/2018,5
02/17/2018,1
02/18/2018,3
02/19/2018,2
02/20/2018,5
02/21/2018,5
02/22/2018,8
02/23/2018,10
02/24/2018,7
02/25/2018,5
02/26/2018,11
02/27/2018,9
02/28/2018,3
3/1/2018,8
3/2/2018,11
3/3/2018,5
3/4/2018,3
3/5/2018,8
3/6/2018,6
3/7/2018,6
3/8/2018,5
3/9/2018,4
3/10/2018,5
3/11/2018,5
3/12/2018,8
03/13/2018,12
03/14/2018,5
